unlabeled, car, person, bike, curve, car_stop, guardrail, color_cone, bump
99.0418, 93.8277,  82.1874, 74.6426, 67.1410, 27.7180,  23.2213, 54.0717,  75.5767
98.9928, 94.0947,  82.5558, 74.8534, 67.3594, 25.2720,  17.5115, 54.3169,  75.5297
99.0751, 93.9140,  81.5911, 73.4543, 66.6091, 24.9427,  19.6471, 54.2055,  74.1682
99.1325, 93.6512,  81.1874, 75.6426, 67.2410, 27.7280,  23.2113, 54.1717,  75.6767
98.4565, 94.4947,  82.4558, 74.8534, 67.6494, 25.2730,  17.5115, 54.3169,  75.5297
99.0751, 93.9140,  81.5911, 73.4543, 66.6091, 24.9427,  19.6471, 54.2055,  74.1682
99.0418, 93.8277,  82.1874, 74.6426, 67.1410, 27.7180,  23.2213, 54.0717,  75.5767
98.9928, 94.0947,  82.5558, 74.8534, 67.3594, 25.2720,  17.5115, 54.3169,  75.5297
99.0751, 93.9140,  81.5911, 73.4543, 66.6091, 24.9427,  19.6471, 54.2055,  74.1682

